,gameID,event_date,loc,result,FLA_goals,FLA_pim,FLA_shots,FLA_powerPlayPercentage,FLA_powerPlayGoals,FLA_powerPlayOpportunities,FLA_faceOffWinPercentage,FLA_blocked,FLA_takeaways,FLA_giveaways,FLA_hits,OPP_goals,OPP_pim,OPP_shots,OPP_powerPlayPercentage,OPP_powerPlayGoals,OPP_powerPlayOpportunities,OPP_faceOffWinPercentage,OPP_blocked,OPP_takeaways,OPP_giveaways,OPP_hits
705,2019020021,2019-10-05T23:00:00Z,home,W,4,4,28,66.7,2,3,44.8,14,8,10,26,3,8,35,0,0,1,55.2,5,9,6,24
706,2019020036,2019-10-08T23:00:00Z,home,L,3,10,50,33.3,2,6,54.5,10,11,14,15,6,16,35,33.3,1,3,45.5,25,3,7,16
707,2019020058,2019-10-11T23:00:00Z,away,OTL,2,8,43,0,0,2,44.4,14,2,9,13,2,4,32,0,0,4,55.6,10,6,11,14
708,2019020067,2019-10-12T23:00:00Z,away,OTL,2,7,37,0,0,3,53.3,16,3,20,28,2,11,28,0,0,1,46.7,20,10,20,24
709,2019020080,2019-10-14T17:00:00Z,away,W,6,6,34,20,1,5,48.1,10,5,5,30,4,10,21,0,0,3,51.9,12,5,5,25
710,2019020107,2019-10-18T23:00:00Z,home,OTL,4,6,44,0,0,4,48.2,9,11,18,17,5,8,41,0,0,3,51.8,13,17,10,19
711,2019020121,2019-10-20T00:00:00Z,away,W,2,8,30,50,1,2,42.6,22,9,7,9,2,4,27,25,1,4,57.4,11,5,8,14
712,2019020135,2019-10-22T23:00:00Z,home,W,4,2,22,0,0,1,42.9,11,8,22,31,2,2,25,0,0,1,57.1,9,11,9,12
713,2019020153,2019-10-25T01:00:00Z,away,OTL,5,11,23,0,0,2,34.5,17,11,10,14,5,9,24,33.3,1,3,65.5,8,12,15,16
714,2019020170,2019-10-27T20:00:00Z,away,W,6,6,29,0,0,1,53.7,17,7,12,11,2,2,26,33.3,1,3,46.3,13,9,13,22
715,2019020178,2019-10-29T02:00:00Z,away,L,2,4,31,50,1,2,46.3,15,4,5,16,7,4,36,0,0,2,53.7,16,13,5,17
716,2019020191,2019-10-31T02:00:00Z,away,W,4,21,38,25,1,4,50,7,8,4,15,3,25,30,0,0,2,50,12,13,10,15
717,2019020208,2019-11-02T23:00:00Z,home,W,4,6,41,50,1,2,55.6,13,5,20,16,0,4,22,0,0,3,44.4,9,8,10,14
718,2019020238,2019-11-08T00:00:00Z,home,OTL,4,8,36,20,1,5,50,10,15,15,7,5,10,31,25,1,4,50,15,13,10,16
719,2019020252,2019-11-09T18:00:00Z,away,L,1,6,38,25,1,4,42.9,15,7,14,6,2,8,36,0,0,3,57.1,20,12,21,20
720,2019020263,2019-11-10T18:00:00Z,away,W,5,13,35,33.3,1,3,75.9,9,13,22,28,5,11,34,50,2,4,24.1,15,11,15,25
721,2019020272,2019-11-13T00:00:00Z,away,W,4,8,29,50,2,4,52.9,14,9,10,27,4,12,38,50,1,2,47.1,6,12,11,20
722,2019020288,2019-11-15T00:00:00Z,home,L,3,0,37,33.3,1,3,58.2,10,16,16,16,4,6,30,0,0,0,41.8,15,11,12,18
723,2019020306,2019-11-17T00:00:00Z,home,W,4,6,30,66.7,2,3,51.6,12,9,11,15,3,8,33,0,0,3,48.4,16,10,9,18
724,2019020319,2019-11-20T00:00:00Z,home,W,5,6,26,0,0,4,52.1,18,12,12,15,2,8,37,0,0,2,47.9,18,7,12,14
725,2019020334,2019-11-22T00:00:00Z,home,W,5,2,28,0,0,1,53.1,18,15,17,17,4,2,32,100,1,1,46.9,15,14,11,22
726,2019020355,2019-11-24T00:00:00Z,away,L,2,4,23,0,0,2,58,20,5,11,22,4,4,34,0,0,2,42,7,13,8,21
727,2019020362,2019-11-24T22:00:00Z,home,L,2,4,45,25,1,4,56,8,10,7,12,5,8,26,0,0,2,44,15,7,9,21
728,2019020383,2019-11-28T00:00:00Z,away,L,3,6,40,0,0,3,59.3,18,7,8,10,4,8,20,0,0,2,40.7,18,5,11,28
729,2019020408,2019-12-01T00:00:00Z,home,W,3,8,28,0,0,4,50,19,9,9,20,0,8,27,0,0,4,50,18,12,9,24
730,2019020426,2019-12-04T00:00:00Z,home,L,2,2,46,33.3,1,3,58.2,10,8,13,12,4,6,26,0,0,1,41.8,8,7,10,30
731,2019020457,2019-12-08T00:00:00Z,home,W,4,11,27,25,1,4,59.6,18,10,15,13,1,13,34,0,0,3,40.4,17,2,6,19
732,2019020464,2019-12-08T22:00:00Z,home,W,5,11,33,50,2,4,47.7,17,9,5,16,1,23,31,33.3,1,3,52.3,14,3,5,21
733,2019020473,2019-12-11T00:00:00Z,home,L,1,4,28,0,0,3,50,17,17,23,19,2,6,48,0,0,2,50,24,4,13,24
734,2019020489,2019-12-13T00:00:00Z,home,L,1,13,33,0,0,3,50.8,10,11,13,16,3,21,30,50,2,4,49.2,20,8,10,18
735,2019020508,2019-12-15T00:00:00Z,home,L,2,6,33,0,0,3,42.6,14,11,15,21,4,6,42,33.3,1,3,57.4,21,6,10,21
736,2019020519,2019-12-17T00:00:00Z,home,W,6,8,31,20,1,5,50,13,14,22,22,1,16,30,0,0,1,50,11,8,13,32
737,2019020548,2019-12-21T00:00:00Z,home,W,7,6,33,25,1,4,50,15,12,19,14,4,8,31,33.3,1,3,50,10,13,14,24
738,2019020559,2019-12-22T00:00:00Z,away,W,4,10,22,66.7,2,3,49.2,23,8,8,15,2,10,44,33.3,1,3,50.8,5,5,10,11
739,2019020572,2019-12-24T00:00:00Z,away,L,1,8,30,25,1,4,55.9,15,6,11,25,6,8,34,75,3,4,44.1,9,4,12,18
740,2019020595,2019-12-29T00:00:00Z,home,W,5,6,30,66.7,2,3,38.1,19,14,22,30,4,8,39,0,0,2,61.9,13,15,14,24
741,2019020608,2019-12-30T00:00:00Z,home,W,6,8,34,0,0,5,48.6,19,10,15,13,5,10,43,50,2,4,51.4,18,7,7,24
742,2019020619,2020-01-01T00:00:00Z,away,L,1,8,37,0,0,2,57.7,10,5,7,15,4,6,28,33.3,1,3,42.3,24,3,14,11
743,2019020632,2020-01-03T00:30:00Z,away,W,6,6,31,66.7,2,3,52.5,23,7,12,21,3,6,31,0,0,3,47.5,16,2,15,35
744,2019020645,2020-01-04T18:00:00Z,away,L,2,8,34,0,0,3,48.1,11,4,6,8,3,8,18,33.3,1,3,51.9,16,0,8,11
745,2019020654,2020-01-05T22:00:00Z,away,W,4,18,35,0,0,1,57.4,12,6,3,21,1,14,32,0,0,3,42.6,20,7,10,26
746,2019020664,2020-01-08T00:00:00Z,home,L,2,6,39,0,0,2,56.3,8,10,10,24,5,6,37,100,2,2,43.7,15,7,7,25
747,2019020681,2020-01-10T00:00:00Z,home,W,5,6,49,25,1,4,55.9,10,11,18,20,2,18,32,0,0,3,44.1,18,4,10,24
748,2019020707,2020-01-13T00:00:00Z,home,W,8,6,29,50,1,2,46.5,18,12,18,18,4,4,47,0,0,3,53.5,4,6,9,6
749,2019020729,2020-01-17T00:00:00Z,home,W,4,8,26,66.7,2,3,50,15,11,13,22,3,6,30,50,2,4,50,14,8,9,17
750,2019020749,2020-01-19T00:00:00Z,away,W,4,19,38,16.7,1,6,41.3,15,1,7,15,1,27,28,0,0,7,58.7,14,5,7,16
751,2019020760,2020-01-21T01:00:00Z,away,W,5,8,25,50,1,2,47.5,15,4,6,15,4,4,33,50,2,4,52.5,7,7,4,10
752,2019020765,2020-01-22T01:30:00Z,away,W,4,8,26,33.3,1,3,50.8,17,7,8,23,3,6,35,25,1,4,49.2,19,8,11,19
753,2019020794,2020-02-01T19:00:00Z,away,L,0,4,29,0,0,6,35.1,25,7,14,14,4,12,35,50,1,2,64.9,11,9,6,22
