id,season,name,position,age,height,weight,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8474153,20102011,Michal Repik,RW,21,"5' 10""",180,396:21:00,6,2,22,54,31,47,0,1,27:58:00,367:32:00,22,42.85,3.7,0,0,0,0,0:51,8,-6,8,540,12:47,11:51,0:01,0:54,,,,,,,,,,,,,,,,,,,,
8474184,20102011,Keaton Ellerby,D,21,"6' 5""",220,869:03:00,10,2,22,56,54,74,0,1,21:17,817:26:00,22,0,3.57,0,0,0,0,30:20:00,68,-15,12,1126,16:05,15:08,0:33,0:23,,,,,,,,,,,,,,,,,,,,
8474520,20102011,Jason Garrison,D,25,"6' 1""",218,1627:28:00,13,5,26,116,73,136,0,3,113:21:00,1284:33:00,26,0,4.31,3,1,0,0,229:34:00,127,-2,18,1934,22:17,17:35,3:08,1:33,,,,,,,,,,,,,,,,,,,,
8475179,20102011,Dmitry Kulikov,D,19,"6' 1""",201,1436:26:00,20,6,45,83,72,107,1,5,187:59:00,1185:36:00,45,0,7.23,1,1,0,0,62:51:00,79,-5,26,1726,19:57,16:28,0:52,2:36,,,,,,,,,,,,,,,,,,,,
8475304,20102011,Scott Timmins,C,20,"5' 11""",191,205:32:00,0,1,8,13,19,18,0,0,0:20,168:31:00,8,46.92,7.69,0,0,0,0,36:41:00,11,-8,1,291,10:49,8:52,1:55,0:01,,,,,,,,,,,,,,,,,,,,
8460712,20102011,Tomas Vokoun,G,33,"6' 1""",210,3224:06:00,,,,,57,,,,,,,,,,,,,,,,,,56:33:00,,,,5,6,22,28,1616,259,60,1297,62,1411,280,0.921848,2.549549,57,1753,137,92.5,96.77419355,91.92062367,
8466339,20102011,Scott Clemmensen,G,32,"6' 2""",200,1696:04:00,,,,,31,,,,,,,,,,,,,,,,,,54:42:00,,,,7,1,8,11,759,113,30,616,32,671,130,0.911164,2.617822,25,833,74,86.92307692,93.75,91.80327869,
8474593,20102011,Jacob Markstrom,G,20,"6' 6""",207,39:49:00,,,,,1,,,,,,,,,,,,,,,,,,39:49:00,,,,0,0,0,1,12,5,0,7,0,7,7,0.857143,3.013813,0,14,2,71.42857143,,100,
8460492,20112012,Ed Jovanovski,D,34,"6' 3""",220,1101:51:00,10,3,31,58,66,71,1,4,111:58:00,888:07:00,31,0,5.17,0,0,0,0,101:46:00,73,-11,13,1597,16:41,13:27,1:32,1:41,,,,,,,,,,,,,,,,,,,,
8464979,20112012,Marco Sturm,LW,32,"6' 0""",196,591:06:00,2,3,25,65,48,49,0,0,41:56:00,499:01:00,25,69.23,4.62,1,0,0,0,50:09:00,14,-13,5,903,12:18,10:23,1:02,0:52,,,,,,,,,,,,,,,,,,,,
8465059,20112012,Matt Bradley,RW,32,"6' 3""",200,489:19:00,5,3,31,35,45,134,0,0,6:11,464:50:00,31,42.85,8.57,0,0,0,0,18:18,11,-3,8,697,10:52,10:19,0:24,0:08,,,,,,,,,,,,,,,,,,,,
8466285,20112012,Brian Campbell,D,31,"5' 10""",192,2205:31:00,49,4,6,131,82,46,1,31,339:41:00,1760:51:00,6,0,3.05,0,0,0,0,104:59:00,118,-9,53,2354,26:53:00,21:28,1:16,4:08,,,,,,,,,,,,,,,,,,,,
8466371,20112012,John Madden,C,37,"5' 11""",190,371:28:00,0,3,4,33,31,23,0,0,2:27,334:06:00,4,49.52,9.09,1,0,0,0,34:55:00,12,-4,3,563,11:58,10:46,1:07,0:04,,,,,,,,,,,,,,,,,,,,
8467428,20112012,Krys Barch,RW,30,"6' 2""",225,374:51:00,3,2,114,24,51,67,0,0,1:21,372:48:00,114,28.57,8.33,0,0,0,0,0:42,10,0,5,585,7:21,7:18,0:00,0:01,,,,,,,,,,,,,,,,,,,,
8467463,20112012,Mikael Samuelsson,RW,34,"6' 2""",218,861:10:00,17,14,20,138,54,79,7,13,138:27:00,719:58:00,20,36.36,10.14,1,0,0,0,2:45,11,1,31,1166,15:56,13:19,0:03,2:33,,,,,,,,,,,,,,,,,,,,
8467910,20112012,Nolan Yonkman,D,29,"6' 6""",247,6:19,0,0,0,0,1,0,0,0,0:00,6:19,0,0,0,0,0,0,0,0:00,0,0,0,9,6:19,6:19,0:00,0:00,,,,,,,,,,,,,,,,,,,,
8468162,20112012,Jerred Smithson,C,31,"6' 3""",209,808:23:00,5,1,34,37,69,128,0,0,6:50,670:41:00,34,56.12,2.7,0,0,0,1,130:52:00,43,-5,6,1272,11:42,9:43,1:53,0:05,,,,,,,,,,,,,,,,,,,,
8468478,20112012,Mike Weaver,D,32,"5' 10""",186,1666:53:00,16,0,14,51,82,114,0,0,7:26,1419:05:00,14,0,0,0,0,0,1,240:22:00,137,-2,16,2164,20:19,17:18,2:55,0:05,,,,,,,,,,,,,,,,,,,,
8468518,20112012,Tomas Kopecky,RW,28,"6' 3""",210,1381:37:00,22,10,32,143,80,45,2,8,170:50:00,1050:13:00,32,52.63,6.99,2,0,0,0,160:34:00,35,-8,32,1953,17:16,13:07,2:00,2:08,,,,,,,,,,,,,,,,,,,,
8469457,20112012,Stephen Weiss,C,27,"5' 11""",190,1640:49:00,37,20,60,149,80,92,5,17,263:35:00,1276:02:00,60,53.16,13.42,6,0,1,1,101:12:00,61,5,57,2102,20:30,15:57,1:15,3:17,,,,,,,,,,,,,,,,,,,,
8469473,20112012,Marcel Goc,C,27,"6' 1""",197,1004:12:00,16,11,10,97,57,38,3,4,70:27:00,818:56:00,10,51.63,11.34,1,0,0,0,114:49:00,23,5,27,1415,17:37,14:22,2:00,1:14,,,,,,,,,,,,,,,,,,,,
8470005,20112012,Mark Cullen,C,32,"5' 11""",182,47:59:00,1,0,2,1,6,2,0,0,0:33,47:24:00,2,55.55,0,0,0,0,0,0:02,1,2,1,77,7:59,7:54,0:00,0:05,,,,,,,,,,,,,,,,,,,,
8470039,20112012,Tomas Fleischmann,LW,26,"6' 1""",192,1566:06:00,34,27,26,217,82,32,6,22,259:40:00,1294:54:00,26,51.85,12.44,4,0,0,0,11:32,33,-7,61,2042,19:05,15:47,0:08,3:10,,,,,,,,,,,,,,,,,,,,
8470105,20112012,Scottie Upshall,RW,27,"6' 0""",200,330:45:00,3,2,29,53,26,44,1,1,34:55:00,287:51:00,29,50,3.77,1,0,0,0,7:59,2,-3,5,488,12:43,11:04,0:18,1:20,,,,,,,,,,,,,,,,,,,,
